-- 支出 -- 
日期, 帳戶, 帳戶貨幣, 類別, 金額, 描述 
2021/04/01, 生活費, TWD, 零食, 5,  
2021/04/01, 生活費, TWD, 購物, 39,  
2021/04/01, 生活費, TWD, 早餐, 49,  
2021/04/01, 生活費, TWD, 加油, 91,  
2021/04/01, 生活費, TWD, 晚餐, 117,  
2021/04/01, 生活費, TWD, 午餐, 157,  
2021/04/02, 生活費, TWD, 飲料, 35,  
2021/04/02, 生活費, TWD, 午餐, 35,  
2021/04/02, 生活費, TWD, 晚餐, 100,  
2021/04/03, 生活費, TWD, 午餐, 60,  
2021/04/03, 生活費, TWD, 飲料, 65,  
2021/04/03, 生活費, TWD, 零食, 138,  
2021/04/04, 生活費, TWD, 手續費, 5,  
2021/04/04, 生活費, TWD, 早餐, 30,  
2021/04/04, 生活費, TWD, 午餐, 180,  
2021/04/04, 生活費, TWD, 午餐, 190,  
2021/04/05, 生活費, TWD, 手續費, 15,  
2021/04/05, 生活費, TWD, 手續費, 15,  
2021/04/06, 生活費, TWD, 零食, 5,  
2021/04/06, 生活費, TWD, 零食, 5,  
2021/04/06, 生活費, TWD, 早餐, 10,  
2021/04/06, 生活費, TWD, 晚餐, 60,  
2021/04/06, 生活費, TWD, 午餐, 150,  
2021/04/07, 生活費, TWD, 零食, 5,  
2021/04/07, 生活費, TWD, 早餐, 10,  
2021/04/07, 生活費, TWD, 飲料, 30,  
2021/04/07, 生活費, TWD, 晚餐, 50,  
2021/04/07, 生活費, TWD, 午餐, 90,  
2021/04/07, 生活費, TWD, 加油, 97,  
2021/04/08, 生活費, TWD, 零食, 5,  
2021/04/08, 生活費, TWD, 午餐, 155,  
2021/04/08, 生活費, TWD, 晚餐, 160,  
2021/04/09, 生活費, TWD, 手續費, 4,  
2021/04/09, 生活費, TWD, 手續費, 15,  
2021/04/09, 生活費, TWD, 午餐, 95,  
2021/04/09, 生活費, TWD, 日常用品, 176,  
2021/04/09, 生活費, TWD, 晚餐, 190,  
